,Channel,Light_status,mean_sleep_per_ind,Line,Genotype1,Genotype2,Sex
718,adj_Monitor2_ch17,Night,0.922954725972994,tripsc,0,0,F
719,adj_Monitor70_ch1,Night,0.909253375694996,64498-32372,1,1,M
720,adj_Monitor3_ch18,Night,0.928117553613979,64498,1,0,M
722,adj_Monitor62_ch17,Night,0.701151707704527,32372,0,1,F
723,adj_Monitor3_ch1,Night,0.808181096108022,64498,1,0,M
724,adj_Monitor22_ch7,Night,0.759928514694202,55690,1,0,M
725,adj_Monitor2_ch11,Night,0.904487688641779,tripsc,0,0,F
726,adj_Monitor21_ch27,Night,0.934273232724384,55690,1,0,F
727,adj_Monitor20_ch23,Night,0.84253375694996,64498,1,0,F
728,adj_Monitor77_ch26,Night,0.826846703733122,64498-32372,1,1,F
729,adj_Monitor70_ch9,Night,0.915210484511517,64498-32372,1,1,M
730,adj_Monitor1_ch9,Night,0.938641779189833,tripsc,0,0,M
731,adj_Monitor2_ch21,Night,0.877084988085782,tripsc,0,0,F
732,adj_Monitor22_ch23,Night,0.822875297855441,55690,1,0,M
733,adj_Monitor1_ch3,Night,0.881652104845115,tripsc,0,0,M
734,adj_Monitor1_ch1,Night,0.953931691818904,tripsc,0,0,M
735,adj_Monitor70_ch32,Night,0.88582208101668,64498-32372,1,1,M
736,adj_Monitor2_ch29,Night,0.940230341540905,tripsc,0,0,F
737,adj_Monitor68_ch6,Night,0.895353455123114,55690-32372,1,1,M
738,adj_Monitor21_ch21,Night,0.903693407466243,55690,1,0,F
739,adj_Monitor3_ch2,Night,0.732128673550437,64498,1,0,M
740,adj_Monitor62_ch13,Night,0.848888006354249,32372,0,1,F
741,adj_Monitor21_ch5,Night,0.852462271644162,55690,1,0,F
742,adj_Monitor70_ch27,Night,0.870333598093725,64498-32372,1,1,M
743,adj_Monitor22_ch22,Night,0.87251787132645,55690,1,0,M
744,adj_Monitor20_ch1,Night,0.865567911040508,64498,1,0,F
745,adj_Monitor68_ch7,Night,0.926330420969023,55690-32372,1,1,M
746,adj_Monitor69_ch6,Night,0.823073868149325,55690-32372,1,1,F
747,adj_Monitor70_ch19,Night,0.83220810166799,64498-32372,1,1,M
748,adj_Monitor77_ch12,Night,0.873113582208102,64498-32372,1,1,F
749,adj_Monitor69_ch2,Night,0.812748212867355,55690-32372,1,1,F
750,adj_Monitor21_ch30,Night,0.889396346306593,55690,1,0,F
