Gene,Line,Genotype1,Genotype2,Sex,Rep,Time,Tap
Odc1,64498,1,0,F,48,42.73,N
CG5877-Snr1,55690-32372,1,1,F,21,42.8,N
Control,control,0,0,F,5,42.87,N
CG5877-Snr1,55690-32372,1,1,M,9,42.9,N
Control,control,0,0,M,20,42.91,N
Odc1-Snr1,64498-32372,1,1,F,5,42.92,N
Odc1-Snr1,64498-32372,1,1,F,4,42.94,N
Control,control,0,0,F,38,43.09,N
Control,control,0,0,M,44,43.1,N
Odc1,64498,1,0,M,32,43.13,N
Odc1,64498,1,0,M,44,43.14,N
Odc1,64498,1,0,M,34,43.25,N
Odc1-Snr1,64498-32372,1,1,F,22,43.26,N
Odc1,64498,1,0,M,31,43.27,N
Control,control,0,0,M,3,43.28,N
Odc1-Snr1,64498-32372,1,1,M,1,43.35,N
CG5877,55690,1,0,F,49,43.38,N
Control,control,0,0,F,29,43.44,N
Odc1-Snr1,64498-32372,1,1,F,20,43.44,N
CG5877,55690,1,0,F,41,43.61,N
CG5877-Snr1,55690-32372,1,1,M,8,43.63,N
Control,control,0,0,M,25,43.68,N
CG5877-Snr1,55690-32372,1,1,F,27,43.7,N
CG5877,55690,1,0,F,32,43.8,N
Snr1,32372,0,1,F,26,43.87,N
Control,control,0,0,M,35,44.02,N
Control,control,0,0,M,50,44.33,N
Control,control,0,0,F,41,44.4,N
CG5877,55690,1,0,F,28,44.49,N
Snr1,32372,0,1,F,15,44.89,N
CG5877,55690,1,0,M,37,45,N
