lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
beta,48.327,0.426803851,F,Snr1,32372,ubi156,58.401,0.515773205,0.471288528
beta,55.422,0.451392735,F,Snr1,32372,ubi156,59.773,0.486830103,0.469111419
beta,59.129,0.477039129,M,Snr1,32372,ubi156,57.128,0.460895522,0.468967326
beta,55.3556521,0.474665938,F,Snr1,32372,ubi156,52.33409058,0.448756528,0.461711233
beta,56.918,0.429861793,F,Snr1,32372,ubi156,65.061,0.491360169,0.460610981
beta,53.288,0.458273134,F,Snr1,32372,ubi156,51.974,0.446972824,0.452622979
beta,47.2,0.378933847,M,Snr1,32372,ubi156,62.901,0.504985549,0.441959698
beta,67.847,0.423964257,F,Snr1,32372,ubi156,67.009,0.418727739,0.421345998
alpha,67.747,0.415727786,F,Snr1,32372,ubi156,66.909,0.41058542,0.413156603
alpha,48.641,0.30394926,F,Snr1,32372,ubi156,57.334,0.358270324,0.331109792
alpha,67.30905236,0.697259227,M,SMC1,34351,ubi56,67.07132604,0.694796603,0.696027915
alpha,65.729,0.68723273,F,SMC1,34351,ubi56,64.448,0.673839173,0.680535952
alpha,63.985,0.676674634,M,SMC1,34351,ubi56,62.052,0.656232154,0.666453394
alpha,70.091,0.672658349,M,SMC1,34351,ubi56,66.75,0.64059501,0.65662668
alpha,64.847,0.630010687,F,SMC1,34351,ubi56,67.181,0.652686292,0.64134849
alpha,62.51,0.637557881,M,SMC1,34351,ubi56,62.713,0.639628338,0.63859311
alpha,59.076,0.584679335,M,SMC1,34351,ubi56,65.133,0.644625891,0.614652613
alpha,59.744,0.6027928,F,SMC1,34351,ubi56,62.081,0.626372185,0.614582493
alpha,65.111,0.617282897,F,SMC1,34351,ubi56,64.264,0.609252939,0.613267918
alpha,68.533,0.640076585,M,SMC1,34351,ubi56,61.78,0.577005697,0.608541141
alpha,63.031,0.590897159,F,SMC1,34351,ubi56,65.77,0.616574482,0.603735821
alpha,57.573,0.58359097,M,SMC1,34351,ubi56,61.418,0.622565964,0.603078467
alpha,58.691,0.589486054,M,SMC1,34351,ubi56,60.541,0.608067254,0.598776654
alpha,60.196,0.582955646,M,SMC1,34351,ubi56,63.057,0.610662406,0.596809026
alpha,55.743,0.555928992,M,SMC1,34351,ubi56,61.375,0.612097337,0.584013165
alpha,68.762,0.583421008,F,SMC1,34351,ubi56,67.482,0.572560665,0.577990837
