Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor58,ch6,62872,F,Night,0.916589435
Monitor22,ch1,64498,M,Night,0.960611677
Monitor59,ch7,55690,F,Night,0.956904541
Monitor72,ch32,66945,F,Night,0.963623726
Monitor7,ch16,Control,F,Night,0.932808156
Monitor7,ch17,Control,F,Night,0.936978684
Monitor59,ch19,55690,F,Night,0.935588508
Monitor5,ch6,80387,F,Night,0.943466172
Monitor75,ch1,55690,M,Night,0.950880445
Monitor75,ch11,55690,M,Night,0.946478221
Monitor22,ch14,64498,M,Night,0.958989805
Monitor56,ch3,62872,M,Night,0.867238184
Monitor60,ch9,66945,M,Night,0.925625579
Monitor56,ch8,62872,M,Night,0.946014829
Monitor59,ch3,55690,F,Night,0.966404078
Monitor22,ch26,64498,M,Night,0.890639481
Monitor59,ch6,55690,F,Night,0.909406858
Monitor8,ch10,56014,M,Night,0.925857275
Monitor18,ch23,80387,M,Night,0.940917516
Monitor63,ch18,56014,F,Night,0.924235403
Monitor77,ch21,64498,F,Night,0.966635774
Monitor7,ch7,Control,F,Night,0.918211307
Monitor58,ch25,62872,F,Night,0.96455051
Monitor59,ch4,55690,F,Night,0.986098239
Monitor59,ch29,55690,F,Night,0.982159407
Monitor56,ch26,62872,M,Night,0.928405931
Monitor24,ch4,Control,M,Night,0.932113068
Monitor7,ch14,Control,F,Night,0.963160334
Monitor60,ch30,66945,M,Night,0.952502317
Monitor58,ch28,62872,F,Night,0.97381835
Monitor72,ch9,66945,F,Night,0.954819277
Monitor8,ch22,56014,M,Night,0.965477294
Monitor59,ch26,55690,F,Night,0.969879518
Monitor72,ch11,66945,F,Night,0.885310473
Monitor8,ch18,56014,M,Night,0.948331789
Monitor22,ch19,64498,M,Night,0.926088971
Monitor22,ch20,64498,M,Night,0.977293791
Monitor18,ch32,80387,M,Night,0.968721038
Monitor5,ch15,80387,F,Night,0.958526413
Monitor5,ch12,80387,F,Night,0.875810936
Monitor8,ch3,56014,M,Night,0.961306766
Monitor56,ch18,62872,M,Night,0.943929564
Monitor63,ch15,56014,F,Night,0.901065802
Monitor77,ch20,64498,F,Night,0.93836886
Monitor58,ch24,62872,F,Night,0.961306766
Monitor56,ch23,62872,M,Night,0.962465246
Monitor22,ch25,64498,M,Night,0.885542169
Monitor77,ch4,64498,F,Night,0.898053753
Monitor59,ch2,55690,F,Night,0.968952734
Monitor58,ch7,62872,F,Night,0.971269694
Monitor18,ch9,80387,M,Night,0.941380908
Monitor18,ch31,80387,M,Night,0.930954588
Monitor18,ch17,80387,M,Night,0.965940686
Monitor60,ch4,66945,M,Night,0.965940686
Monitor7,ch10,Control,F,Night,0.903151066
Monitor60,ch32,66945,M,Night,0.96918443
Monitor8,ch25,56014,M,Night,0.908480074
Monitor56,ch9,62872,M,Night,0.919369787
Monitor63,ch19,56014,F,Night,0.942307692
Monitor77,ch22,64498,F,Night,0.897126969
Monitor72,ch7,66945,F,Night,0.947173309
Monitor7,ch11,Control,F,Night,0.937442076
Monitor60,ch6,66945,M,Night,0.987488415
Monitor77,ch15,64498,F,Night,0.946941613
Monitor5,ch14,80387,F,Night,0.985403151
Monitor58,ch17,62872,F,Night,0.955514365
Monitor77,ch18,64498,F,Night,0.903151066
Monitor60,ch8,66945,M,Night,0.987720111
Monitor75,ch28,55690,M,Night,0.967099166
Monitor72,ch18,66945,F,Night,0.943929564
Monitor18,ch10,80387,M,Night,0.983317887
Monitor8,ch16,56014,M,Night,0.872567192
Monitor7,ch24,Control,F,Night,0.887859129
Monitor22,ch11,64498,M,Night,0.945088044
Monitor24,ch15,Control,M,Night,0.978683967
Monitor22,ch24,64498,M,Night,0.957136237
Monitor63,ch23,56014,F,Night,0.90291937
Monitor56,ch1,62872,M,Night,0.903846154
Monitor8,ch27,56014,M,Night,0.946941613
Monitor24,ch12,Control,M,Night,0.967330862
Monitor72,ch3,66945,F,Night,0.896200185
Monitor63,ch22,56014,F,Night,0.959221501
Monitor5,ch19,80387,F,Night,0.936515292
Monitor63,ch16,56014,F,Night,0.923076923
Monitor75,ch24,55690,M,Night,0.976598703
Monitor58,ch27,62872,F,Night,0.909406858
Monitor59,ch1,55690,F,Night,0.950417053
Monitor72,ch24,66945,F,Night,0.906626506
Monitor60,ch26,66945,M,Night,0.90291937
Monitor59,ch28,55690,F,Night,0.979842447
Monitor7,ch21,Control,F,Night,0.967099166
Monitor56,ch25,62872,M,Night,0.881139944
Monitor8,ch11,56014,M,Night,0.948100093
Monitor5,ch31,80387,F,Night,0.9418443
Monitor22,ch23,64498,M,Night,0.978915663
Monitor63,ch26,56014,F,Night,0.896431881
Monitor7,ch29,Control,F,Night,0.956209453
Monitor24,ch18,Control,M,Night,0.967330862
Monitor77,ch17,64498,F,Night,0.919601483
Monitor8,ch19,56014,M,Night,0.93141798
Monitor75,ch12,55690,M,Night,0.958294717
Monitor63,ch31,56014,F,Night,0.978220575
Monitor75,ch3,55690,M,Night,0.933039852
Monitor59,ch13,55690,F,Night,0.965477294
Monitor72,ch29,66945,F,Night,0.93141798
Monitor7,ch26,Control,F,Night,0.941380908
Monitor72,ch15,66945,F,Night,0.907089898
Monitor22,ch31,64498,M,Night,0.970111214
Monitor24,ch9,Control,M,Night,0.963855422
Monitor56,ch24,62872,M,Night,0.795875811
Monitor56,ch13,62872,M,Night,0.882993513
Monitor5,ch8,80387,F,Night,0.983086191
Monitor24,ch13,Control,M,Night,0.984244671
Monitor22,ch28,64498,M,Night,0.948795181
Monitor72,ch30,66945,F,Night,0.949953661
Monitor60,ch12,66945,M,Night,0.923308619
Monitor24,ch16,Control,M,Night,0.991890639
Monitor75,ch6,55690,M,Night,0.871177016
Monitor18,ch14,80387,M,Night,0.898053753
Monitor63,ch21,56014,F,Night,0.972196478
Monitor56,ch22,62872,M,Night,0.851946247
Monitor60,ch13,66945,M,Night,0.980769231
Monitor75,ch17,55690,M,Night,0.940454124
Monitor59,ch22,55690,F,Night,0.966404078
Monitor5,ch22,80387,F,Night,0.996061168
Monitor58,ch19,62872,F,Night,0.954124189
Monitor22,ch32,64498,M,Night,0.865616311
Monitor7,ch27,Control,F,Night,0.97497683
Monitor59,ch12,55690,F,Night,0.895041705
Monitor63,ch11,56014,F,Night,0.922150139
Monitor72,ch1,66945,F,Night,0.970111214
Monitor8,ch23,56014,M,Night,0.906626506
Monitor18,ch1,80387,M,Night,0.96107507
Monitor77,ch27,64498,F,Night,0.984708063
Monitor8,ch14,56014,M,Night,0.935820204
Monitor60,ch28,66945,M,Night,0.958526413
Monitor63,ch7,56014,F,Night,0.950417053
Monitor63,ch30,56014,F,Night,0.945551437
Monitor18,ch24,80387,M,Night,0.952502317
Monitor7,ch22,Control,F,Night,0.941149212
Monitor5,ch30,80387,F,Night,0.978452271
Monitor7,ch23,Control,F,Night,0.936283596
Monitor58,ch30,62872,F,Night,0.968257646
Monitor7,ch20,Control,F,Night,0.916821131
Monitor75,ch19,55690,M,Night,0.940454124
Monitor59,ch23,55690,F,Night,0.959916589
Monitor59,ch14,55690,F,Night,0.987951807
Monitor7,ch2,Control,F,Night,0.905931418
Monitor72,ch21,66945,F,Night,0.965013902
Monitor18,ch26,80387,M,Night,0.9418443
Monitor72,ch10,66945,F,Night,0.878822984
Monitor7,ch25,Control,F,Night,0.956441149
Monitor72,ch12,66945,F,Night,0.944392956
Monitor60,ch15,66945,M,Night,0.952038925
Monitor22,ch7,64498,M,Night,0.843836886
Monitor63,ch28,56014,F,Night,0.910565338
Monitor22,ch6,64498,M,Night,0.906163114
Monitor60,ch18,66945,M,Night,0.972428174
Monitor63,ch8,56014,F,Night,0.925625579
Monitor77,ch19,64498,F,Night,0.913809082
Monitor24,ch32,Control,M,Night,0.982391103
Monitor77,ch5,64498,F,Night,0.971269694
Monitor58,ch8,62872,F,Night,0.959221501
Monitor77,ch30,64498,F,Night,0.884847081
Monitor18,ch18,80387,M,Night,0.958526413
Monitor72,ch5,66945,F,Night,0.918674699
Monitor56,ch12,62872,M,Night,0.957136237
Monitor22,ch2,64498,M,Night,0.884615385
Monitor8,ch12,56014,M,Night,0.956672845
Monitor56,ch29,62872,M,Night,0.945088044
Monitor77,ch6,64498,F,Night,0.918906395
Monitor18,ch30,80387,M,Night,0.965477294
Monitor56,ch15,62872,M,Night,0.892724745
Monitor8,ch1,56014,M,Night,0.969647822
Monitor18,ch11,80387,M,Night,0.979610751
Monitor63,ch32,56014,F,Night,0.965013902
Monitor63,ch4,56014,F,Night,0.908943466
Monitor22,ch8,64498,M,Night,0.947636701
Monitor77,ch2,64498,F,Night,0.934198332
Monitor56,ch7,62872,M,Night,0.856348471
Monitor18,ch8,80387,M,Night,0.928174235
Monitor56,ch32,62872,M,Night,0.947173309
Monitor72,ch19,66945,F,Night,0.934661724
Monitor22,ch4,64498,M,Night,0.911955514
Monitor22,ch21,64498,M,Night,0.955282669
Monitor75,ch22,55690,M,Night,0.988415199
Monitor8,ch15,56014,M,Night,0.942539388
Monitor77,ch11,64498,F,Night,0.917979611
Monitor60,ch17,66945,M,Night,0.968489342
Monitor59,ch30,55690,F,Night,0.985171455
Monitor75,ch5,55690,M,Night,0.954124189
Monitor63,ch14,56014,F,Night,0.843373494
Monitor18,ch13,80387,M,Night,0.932344764
Monitor59,ch20,55690,F,Night,0.933039852
Monitor75,ch8,55690,M,Night,0.916589435
Monitor56,ch31,62872,M,Night,0.943929564
Monitor8,ch17,56014,M,Night,0.906626506
Monitor77,ch26,64498,F,Night,0.87326228
Monitor8,ch29,56014,M,Night,0.947173309
Monitor24,ch21,Control,M,Night,0.958989805
Monitor58,ch9,62872,F,Night,0.925857275
Monitor60,ch19,66945,M,Night,0.970574606
Monitor77,ch16,64498,F,Night,0.950185357
Monitor60,ch27,66945,M,Night,0.964782206
Monitor72,ch23,66945,F,Night,0.936978684
Monitor22,ch29,64498,M,Night,0.949026877
Monitor5,ch21,80387,F,Night,0.918674699
Monitor7,ch19,Control,F,Night,0.935588508
Monitor7,ch8,Control,F,Night,0.964318814
Monitor18,ch7,80387,M,Night,0.938832252
Monitor8,ch30,56014,M,Night,0.954819277
Monitor5,ch11,80387,F,Night,0.982159407
Monitor63,ch2,56014,F,Night,0.817655236
Monitor24,ch26,Control,M,Night,0.946246525
Monitor8,ch24,56014,M,Night,0.941149212
Monitor5,ch9,80387,F,Night,0.927015755
Monitor22,ch9,64498,M,Night,0.869091752
Monitor5,ch23,80387,F,Night,0.918443003
Monitor8,ch21,56014,M,Night,0.947636701
Monitor60,ch2,66945,M,Night,0.962001854
Monitor24,ch10,Control,M,Night,0.944856348
Monitor5,ch17,80387,F,Night,0.946709917
Monitor22,ch27,64498,M,Night,0.905931418
Monitor5,ch3,80387,F,Night,0.93141798
Monitor59,ch27,55690,F,Night,0.937905468
Monitor18,ch29,80387,M,Night,0.9302595
Monitor63,ch5,56014,F,Night,0.90291937
Monitor5,ch2,80387,F,Night,0.952502317
Monitor77,ch29,64498,F,Night,0.949721965
Monitor58,ch23,62872,F,Night,0.883456905
Monitor18,ch2,80387,M,Night,0.916357739
Monitor56,ch2,62872,M,Night,0.955282669
Monitor63,ch10,56014,F,Night,0.960379981
Monitor7,ch9,Control,F,Night,0.937442076
Monitor60,ch1,66945,M,Night,0.932344764
Monitor18,ch19,80387,M,Night,0.931881372
Monitor77,ch1,64498,F,Night,0.976830399
Monitor59,ch9,55690,F,Night,0.958063021
Monitor77,ch8,64498,F,Night,0.948100093
Monitor59,ch32,55690,F,Night,0.97613531
Monitor18,ch22,80387,M,Night,0.926784059
Monitor18,ch16,80387,M,Night,0.982622799
Monitor22,ch17,64498,M,Night,0.978220575
Monitor5,ch27,80387,F,Night,0.977293791
Monitor60,ch21,66945,M,Night,0.948795181
Monitor18,ch12,80387,M,Night,0.927942539
Monitor75,ch7,55690,M,Night,0.840361446
Monitor58,ch22,62872,F,Night,0.946941613
Monitor63,ch1,56014,F,Night,0.966172382
Monitor18,ch4,80387,M,Night,0.979610751
Monitor59,ch31,55690,F,Night,0.978452271
Monitor77,ch28,64498,F,Night,0.933039852
Monitor75,ch9,55690,M,Night,0.955514365
Monitor63,ch27,56014,F,Night,0.959684893
Monitor60,ch20,66945,M,Night,0.947636701
Monitor22,ch16,64498,M,Night,0.923308619
Monitor60,ch10,66945,M,Night,0.992817424
Monitor63,ch9,56014,F,Night,0.944624652
Monitor77,ch23,64498,F,Night,0.945319741
Monitor8,ch32,56014,M,Night,0.969416126
Monitor60,ch25,66945,M,Night,0.986561631
Monitor75,ch25,55690,M,Night,0.837117702
Monitor63,ch17,56014,F,Night,0.968489342
Monitor5,ch28,80387,F,Night,0.914040778
Monitor24,ch1,Control,M,Night,0.958526413
Monitor58,ch31,62872,F,Night,0.967330862
Monitor77,ch13,64498,F,Night,0.930027804
Monitor75,ch4,55690,M,Night,0.977293791
Monitor58,ch26,62872,F,Night,0.915199259
Monitor72,ch17,66945,F,Night,0.931881372
Monitor58,ch13,62872,F,Night,0.908016682
Monitor56,ch30,62872,M,Night,0.859128823
Monitor22,ch5,64498,M,Night,0.958989805
Monitor77,ch24,64498,F,Night,0.928869323
Monitor58,ch12,62872,F,Night,0.924235403
Monitor77,ch14,64498,F,Night,0.884383689
Monitor18,ch20,80387,M,Night,0.916357739
Monitor5,ch25,80387,F,Night,0.901992586
Monitor77,ch10,64498,F,Night,0.869323448
Monitor7,ch5,Control,F,Night,0.968489342
Monitor8,ch28,56014,M,Night,0.946478221
Monitor5,ch18,80387,F,Night,0.944624652
Monitor60,ch23,66945,M,Night,0.986329935
Monitor5,ch5,80387,F,Night,0.929101019
Monitor22,ch18,64498,M,Night,0.937905468
Monitor56,ch19,62872,M,Night,0.980769231
Monitor58,ch14,62872,F,Night,0.968257646
Monitor60,ch16,66945,M,Night,0.958989805
Monitor18,ch28,80387,M,Night,0.958063021
Monitor5,ch24,80387,F,Night,0.946246525
Monitor5,ch20,80387,F,Night,0.963623726
Monitor58,ch2,62872,F,Night,0.927479147
Monitor22,ch22,64498,M,Night,0.853568119
Monitor72,ch8,66945,F,Night,0.97034291
Monitor75,ch32,55690,M,Night,0.930954588
Monitor5,ch32,80387,F,Night,0.87326228
Monitor58,ch20,62872,F,Night,0.954819277
Monitor5,ch4,80387,F,Night,0.935356812
Monitor5,ch26,80387,F,Night,0.946246525
Monitor58,ch21,62872,F,Night,0.886932345
Monitor24,ch11,Control,M,Night,0.977757183
