Line,Gene,Sex,Time (s),
35211,brm,F,27.23,
35211,brm,F,27.39,
35211,brm,F,27.77,
35211,brm,M,28.02,
35211,brm,M,28.11,
35211,brm,F,28.37,
35211,brm,M,29.46,
35211,brm,F,30.18,
35211,brm,F,30.27,
35211,brm,M,30.28,
35211,brm,M,30.39,
35211,brm,F,30.50,
35211,brm,F,30.55,
35211,brm,F,30.83,
35211,brm,M,30.96,
35211,brm,F,32.55,
35211,brm,M,32.65,
35211,brm,F,32.66,
35211,brm,F,33.03,
35211,brm,F,33.15,
35211,brm,F,33.33,
35211,brm,F,34.08,
35211,brm,F,34.17,
35211,brm,F,34.51,
35211,brm,M,34.60,
35211,brm,F,34.74,
35211,brm,M,35.61,
35211,brm,M,35.69,
35211,brm,M,35.83,
35211,brm,M,36.18,
35211,brm,F,36.21,
35211,brm,M,37.35,
35211,brm,M,37.35,
35211,brm,F,37.70,
35211,brm,F,38.24,
35211,brm,M,38.39,
35211,brm,F,38.61,
35211,brm,F,38.83,
35211,brm,F,38.84,
35211,brm,M,39.45,
35211,brm,M,39.80,
35211,brm,M,39.97,
35211,brm,M,40.91,
35211,brm,M,41.13,
35211,brm,M,41.34,
35211,brm,M,41.43,
35211,brm,M,41.75,
35211,brm,M,41.75,
35211,brm,M,41.78,
35211,brm,M,41.79,
35211,brm,M,42.05,
35211,brm,M,42.10,
35211,brm,M,42.13,
35211,brm,M,42.36,
35211,brm,M,43.02,
35211,brm,M,43.19,
35211,brm,M,43.47,
35211,brm,M,43.74,
35211,brm,M,43.85,
35211,brm,M,44.12,
35211,brm,M,44.48,
35211,brm,M,44.74,
35211,brm,M,44.75,
35211,brm,M,44.75,
35211,brm,M,44.81,
35211,brm,M,44.82,
35211,brm,M,44.95,
35211,brm,M,45.05,
35211,brm,M,45.14,
35211,brm,M,45.18,
35447,osa,M,8.23,
35447,osa,F,12.32,
35447,osa,M,13.80,
35447,osa,F,15.43,
35447,osa,F,18.87,
35447,osa,F,20.04,
35447,osa,F,20.06,
35447,osa,F,20.11,
35447,osa,F,21.99,
35447,osa,F,22.90,
35447,osa,F,22.94,
35447,osa,F,23.10,
35447,osa,F,23.64,
35447,osa,M,23.74,
35447,osa,F,23.80,
35447,osa,F,23.86,
35447,osa,F,25.00,
35447,osa,M,25.03,
35447,osa,F,25.09,
35447,osa,M,26.17,
35447,osa,F,26.49,
35447,osa,M,26.91,
35447,osa,F,26.98,
35447,osa,M,27.34,
35447,osa,F,27.40,
35447,osa,F,27.49,
35447,osa,F,27.61,
35447,osa,F,27.69,
35447,osa,M,27.82,
35447,osa,M,28.30,
35447,osa,F,28.77,
35447,osa,F,29.35,
35447,osa,F,29.39,
35447,osa,F,29.59,
35447,osa,M,29.75,
35447,osa,F,30.04,
35447,osa,M,30.34,
35447,osa,F,30.41,
35447,osa,F,30.52,
35447,osa,F,30.94,
35447,osa,M,30.97,
35447,osa,M,31.01,
35447,osa,M,31.11,
35447,osa,M,31.25,
35447,osa,F,31.82,
35447,osa,M,32.29,
35447,osa,M,32.58,
35447,osa,F,32.59,
35447,osa,M,32.71,
35447,osa,F,32.89,
35447,osa,M,32.99,
35447,osa,F,33.15,
35447,osa,F,33.47,
35447,osa,F,33.79,
35447,osa,F,33.91,
35447,osa,M,34.29,
35447,osa,M,34.59,
35447,osa,F,35.01,
35447,osa,F,35.22,
35447,osa,M,35.36,
35447,osa,M,35.93,
35447,osa,M,36.16,
35447,osa,F,36.27,
35447,osa,M,36.77,
35447,osa,F,36.84,
35447,osa,M,37.16,
35447,osa,M,37.55,
35447,osa,F,37.58,
35447,osa,M,37.66,
35447,osa,F,37.97,
35447,osa,F,38.07,
35447,osa,M,38.25,
35447,osa,M,38.46,
35447,osa,F,38.57,
35447,osa,F,38.62,
35447,osa,M,38.75,
35447,osa,M,39.71,
35447,osa,M,39.78,
35447,osa,F,40.06,
35447,osa,M,40.50,
35447,osa,M,40.75,
35447,osa,M,40.91,
35447,osa,M,41.18,
35447,osa,M,41.40,
35447,osa,F,41.61,
35447,osa,M,41.76,
35447,osa,M,41.78,
35447,osa,M,41.98,
35447,osa,M,42.08,
35447,osa,F,42.10,
35447,osa,M,42.90,
35447,osa,M,43.24,
35447,osa,M,43.34,
35447,osa,M,43.54,
35447,osa,F,44.19,
35447,osa,M,44.27,
35447,osa,M,44.28,
35447,osa,M,44.92,
35447,osa,M,44.97,
35447,osa,F,47.52,
36786,vtd,M,5.91,
36786,vtd,M,8.33,
36786,vtd,M,8.34,
36786,vtd,M,9.02,
36786,vtd,F,10.34,
36786,vtd,M,10.73,
36786,vtd,F,10.83,
36786,vtd,M,11.07,
36786,vtd,M,12.33,
36786,vtd,M,14.27,
36786,vtd,M,14.40,
36786,vtd,M,15.09,
36786,vtd,M,15.34,
36786,vtd,M,16.13,
36786,vtd,F,19.00,
36786,vtd,M,19.46,
36786,vtd,F,20.76,
36786,vtd,M,21.44,
36786,vtd,M,21.81,
36786,vtd,M,22.86,
36786,vtd,M,22.91,
36786,vtd,M,23.44,
36786,vtd,F,24.23,
36786,vtd,M,24.32,
36786,vtd,F,24.34,
36786,vtd,M,24.67,
36786,vtd,F,24.93,
36786,vtd,M,25.12,
36786,vtd,M,25.34,
36786,vtd,F,25.46,
36786,vtd,M,25.73,
