Line,Gene,Sex
32372,Snr1,F
34351,SMC1,F
35211,brm,F
35447,osa,F
36786,vtd,F
60017,SMC3,F
32372,Snr1,M
34351,SMC1,M
35211,brm,M
35447,osa,M
36786,vtd,M
60017,SMC3,M
Control,Control,F
Control,Control,M
